n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-bezerra-et-al-2009	0,681939549	0,320592581	189,826	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,375662727	0,088055683	71,121	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,093355557	0,199399373	1,862	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,35281048	0,423115201	102,949	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,862843127	0,901396988	172,864	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,591303296	0,808812308	88,6	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,48810593	0,29054063	105,523	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,847599572	0,689093825	185,353	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,962241024	0,308737881	179,619	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,199976851	0,080412566	12,451	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,614810164	0,123868818	150,611	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,009294363	0,38369598	0,126	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,353049912	0,544645701	75,337	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,883116989	0,53660171	184,448	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,28072232	0,900980781	71,994	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,59714098	0,780708265	47,916	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,72750186	0,448135631	129,698	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,456460437	0,669009234	160,684	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,471542786	0,538417205	75,596	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,162255133	0,840763871	3,109	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,05232146	0,28487014	0,412	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,669449011	0,532723874	60,516	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,769286551	0,301228222	218,29	26	0,105	7,29	8,426
