n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-bezerra-et-al-2009	0,5	0,6	129,768	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,6	149,884	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,6	138,284	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,6	122,234	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,6	143,305	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,6	210,347	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,7	0,121	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,7	26,793	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,7	1,85	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,7	21,356	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,7	59,422	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,7	111,597	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,7	35,668	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,7	141,948	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,7	275,21	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,7	255,453	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,7	301,182	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,8	0,129	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,8	1,171	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,8	85,752	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,8	55,009	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,8	33,644	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,8	96,203	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,8	167,441	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,8	183,251	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,8	322,648	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,8	138,825	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,8	370,499	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,9	0,102	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,9	1,932	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,9	8,602	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,9	9,714	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,9	34,557	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,9	116,746	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,9	133,833	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,9	158,956	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,9	161,685	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,9	64,151	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,9	194,875	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	1	0,054	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	1	1,313	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	1	9,534	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	1	42,022	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	1	103,186	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	1	111,171	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	1	40,685	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	1	136,63	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	1	261,544	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	1	227,937	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	1	52,398	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0	0,095	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0	4,373	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0	2,652	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0	34,818	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0	256,275	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0	116,094	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0	219,736	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0	239,177	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0	408,418	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0	430,921	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0	513,49	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,1	0,124	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,1	33,626	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,1	87,589	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,1	73,001	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,1	148,426	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,1	106,454	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,1	243,27	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,1	114,982	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,1	142,654	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,1	212,645	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,1	250,004	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,2	0,09	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,2	1,107	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,2	20,565	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,2	208,447	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,2	101,265	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,2	50,37	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,2	66,063	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,7	0,2	166,278	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,8	0,2	308,717	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,9	0,2	212,765	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	1	0,2	118,15	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0	0,3	0,083	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,1	0,3	0,285	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,2	0,3	18,791	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,3	0,3	13,103	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,4	0,3	51,934	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,5	0,3	92,152	26	0,105	7,29	8,426
B_NS-PP-bezerra-et-al-2009	0,6	0,3	93,625	26	0,105	7,29	8,426
