File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-bezerra-et-al-2009_final_control_21.txt	5	0.368233	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_22.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_23.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_24.txt	4	0.368164	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_25.txt	4	0.259763	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_26.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_27.txt	4	0.333153	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_28.txt	4	0.298765	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_29.txt	4	0.308800	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_3.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_30.txt	4	0.330370	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_4.txt	4	0.383333	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_5.txt	4	0.394464	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_6.txt	4	0.324032	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_7.txt	4	0.308800	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_8.txt	5	0.303407	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_final_control_9.txt	5	0.466667	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_1.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_10.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_11.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_12.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_13.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_14.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_15.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_16.txt	3	0.230113	0.000000	0.000000
B_NS-PP-bezerra-et-al-2009_init_17.txt	3	0.230113	0.000000	0.000000
