File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-bezerra-et-al-2009.txt	3	0.230113	0.000000	0.000000
B_NS-PP-mosquin-1967.txt	5	0.391087	0.000000	0.000000
B_NS-PP-olesen_aigrettes.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_flores.txt	4	0.444444	0.000000	0.000000
B_NS-PP-vazquez_ArroyoGoye_2002.txt	6	0.538670	0.000000	0.000000
B_NS-PP-vazquez_CerroLopez_2002.txt	6	0.618765	0.000000	0.000000
B_NS-PP-vazquez_LlaoLlao_2002.txt	5	0.569728	0.000000	0.000000
B_NS-PP-vazquez_Mascardi(c)_2002.txt	6	0.547068	0.000000	0.000000
B_NS-PS-Baird-1980wgt.txt	5	0.324800	0.000000	0.000000
B_NS-PS-Beehler-1983wgt.txt	5	0.224349	0.000000	0.000000
B_NS-PS-Carlo-2003-FrontonWgt.txt	6	0.469819	0.000000	0.000000
B_NS-PS-Jordano-1985.txt	3	0.236186	0.000000	0.000000
B_NS-PS-Kantak-1979.txt	3	0.182396	0.000000	0.000000
B_NS-PS-Poulin-et-al-1999Micwgt.txt	4	0.352617	0.000000	0.000000
B_NS-PS-Poulin-et-al-1999Pscwgt.txt	4	0.254895	0.000000	0.000000
B_NS-PS-Sorensen-1981wgt.txt	4	0.341210	0.000000	0.000000
B_SY-AP-IzzomtcCOLpen.txt	4	0.693878	0.000000	0.000000
B_SY-AP-IzzomtcDIM100.txt	5	0.776860	0.000000	0.000000
B_SY-AP-IzzomtcFLO.txt	5	0.685121	0.000000	0.000000
B_SY-AP-IzzomtcPA10.txt	6	0.790123	0.000000	0.000000
B_SY-AP-IzzomtcPAcamp.txt	6	0.781250	0.000000	0.000000
B_SY-AP-IzzomtcPOW.txt	6	0.777778	0.000000	0.000000
B_SY-AP1-davidson-et-al-1989.txt	7	0.778393	0.000000	0.000000
B_SY-AP3-fonseca&ganade-1996.txt	7	0.685764	0.000000	0.000000
