time,depth,latitude,longitude,Tper,Thgt
UTC,m,degrees_north,degrees_east,second,meters
2019-07-09T12:00:00Z,0.0,-33.5,233.5,15.384614,3.53
2019-07-09T13:00:00Z,0.0,-33.5,233.5,15.384614,3.52
2019-07-09T14:00:00Z,0.0,-33.5,233.5,15.384614,3.52
2019-07-09T15:00:00Z,0.0,-33.5,233.5,15.384614,3.51
2019-07-09T16:00:00Z,0.0,-33.5,233.5,15.384614,3.5
2019-07-09T17:00:00Z,0.0,-33.5,233.5,15.151515,3.49
2019-07-09T18:00:00Z,0.0,-33.5,233.5,14.925373,3.46
2019-07-09T19:00:00Z,0.0,-33.5,233.5,14.925373,3.4299998
2019-07-09T20:00:00Z,0.0,-33.5,233.5,14.705881,3.3899999
2019-07-09T21:00:00Z,0.0,-33.5,233.5,14.705881,3.35
2019-07-09T22:00:00Z,0.0,-33.5,233.5,14.492752,3.3
2019-07-09T23:00:00Z,0.0,-33.5,233.5,14.492752,3.25
2019-07-10T00:00:00Z,0.0,-33.5,233.5,14.492752,3.1999998
